Name_Hebrew,Name,Wikibase Registry ID,occupation,place of birth,date of birth,sex or gender,Number of movies,Movies list,Year,Movie QID
,,,,,,,,A Christmas Moose Miracle,2018,Q59956971
אביתר אדיר,אביתר אדיר,Q105811021,dub actor,,,,6,Over the Garden Wall,2017,Q17065414
,,,,,,,,השלישייה בקטלוניה (2010),2010,
,,,,,,,,השלישייה וגאודי (2010),2010,
,,,,,,,,השלישייה ותעלומת דון קישוט (2010),2010,
,,,,,,,,Moana,2016,Q18647981
,,,,,,,,Pokémon: The Movie 2000,2000,Q868048
אביתר בר דוד,אביתר בר דוד,Q105811022,dub actor,,,,1,Despicable Me 3,2017,Q22997984
אביתר ליכטנשטט,אביתר ליכטנשטט,Q105811023,dub actor,,,,9,איזה קול יפה (2018),2018,
,,,,,,,,אמונה באלוהים (2018),2018,
,,,,,,,,Barbie Mariposa,2008,Q2545652
,,,,,,,,The Smurfs and the Magic Flute,2011,Q587692
,,,,,,,,Yu-Gi-Oh! The Movie: Pyramid of Light,2004,Q962917
,,,,,,,,Madagascar 3: Europe's Most Wanted,2012,Q244247
,,,,,,,,Wreck-It Ralph,2012,Q28891
,,,,,,,,Rise of the Guardians,2012,Q136625
,,,,,,,,שליח הבשורה (2018),2018,
אביתר שצברג,אביתר שצברג,Q105811024,dub actor,,,,1,Klaus,2019,Q67208596
אברהם מור,Avraham Mor,Q6976086,dub actor,Tel Aviv,1935-05-05T00:00:00Z,male,13,The Return of Jafar,1994,Q817261
,,,stage actor,,,,,Aladdin and the King of Thieves,1996,Q817003
,,,television actor,,,,,Aladdin,1993,Q215518
,,,,,,,,Lady and the Tramp,1989,Q172284
,,,,,,,,Wallace & Gromit: The Curse of the Were-Rabbit,2005,Q318428
,,,,,,,,Tarzan,1999,Q208696
,,,,,,,,The Prince and the Pauper,1991,Q2624382
,,,,,,,,The Simpsons Movie,2007,Q182254
,,,,,,,,Cinderella,1991,Q191753
,,,,,,,,One Hundred and One Dalmatians,1989,Q165512
,,,,,,,,Pinocchio,1993,Q4341553
,,,,,,,,Toy Story 2,2000,Q187266
,,,,,,,,Snow White and the Seven Dwarfs,1992,Q134430
אברהם סלקטר,Abraham Celektar,Q12403393,actor,Bulgaria,1945-05-01T00:00:00Z,male,50,Alpha and Omega,2010,Q645405
,,,dub actor,,1945-05-03T00:00:00Z,,,Astro Boy,2010,Q1061539
,,,stage actor,,,,,Oz the Great and Powerful,2013,Q590216
,,,,,,,,Arthur 3: The War of the Two Worlds,2010,Q712194
,,,,,,,,Arthur and the Revenge of Maltazard,2009,Q389466
,,,,,,,,Justin and the Knights of Valour,2013,Q14451258
,,,,,,,,Despicable Me,2010,Q4447
,,,,,,,,Deep,2017,Q30051739
,,,,,,,,Harry Potter and the Half-Blood Prince,2009,Q161687
,,,,,,,,Paddington,2015,Q15055478
,,,,,,,,The Tale of Despereaux,2009,Q840353
,,,,,,,,The Princess and the Frog,2010,Q171300
,,,,,,,,The BFG,2016,Q19689203
,,,,,,,,Beverly Hills Chihuahua,2009,Q390341
,,,,,,,,Battle for Terra,2009,Q2298194
,,,,,,,,Wallace & Gromit: The Curse of the Were-Rabbit,2005,Q318428
,,,,,,,,כוח ג'י (2009),2009,
,,,,,,,,The Lego Movie,2014,Q2608065
,,,,,,,,Looney Tunes: Back in Action,2003,Q834165
,,,,,,,,Frozen,2013,Q246283
